period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,10225,22,19,6,7,6,15,13,13,9,10,7,4,2
201502,7721,27,10,5,12,6,12,12,14,6,6,3,3,3
201503,7275,14,11,10,12,10,10,9,9,4,1,4,2,1
201504,7347,18,21,20,17,8,6,4,5,3,2,3,3,2
201505,8246,24,30,21,19,23,10,6,2,5,1,1,2,4
201506,13766,42,42,43,26,13,10,5,4,6,7,5,6,9
201507,18335,55,64,28,13,10,8,9,8,10,12,10,9,8
201508,19119,66,44,18,18,14,8,6,1,9,13,9,16,10
201509,13634,40,30,12,15,5,5,7,7,8,6,8,9,5
201510,12210,35,28,15,9,8,4,8,7,6,14,5,8,1
201511,13059,41,25,9,10,6,8,6,7,13,8,8,13,4
201512,11624,27,23,8,5,6,12,4,6,8,13,8,7,1
201601,8779,30,22,6,8,10,6,10,11,8,6,3,2,7
201602,7194,16,12,8,6,6,3,6,7,3,2,6,5,1
201603,6539,11,9,12,6,9,8,7,6,2,1,1,1,3
201604,5961,22,20,6,7,6,9,4,4,4,2,4,4,1
201605,7380,29,18,15,19,7,9,5,4,4,4,3,3,2
201606,11529,22,39,28,10,12,9,6,1,5,1,6,4,3
201607,15728,21,40,18,25,14,6,6,9,4,3,8,5,9
201608,16292,35,29,19,5,3,10,4,5,3,6,9,10,9
201609,12227,32,35,8,10,7,7,2,6,6,8,9,7,3
201610,11205,29,34,12,4,4,2,5,8,9,6,8,5,1
201611,10834,35,13,9,5,2,5,8,6,5,3,4,5,2
201612,10581,16,18,5,7,4,3,5,4,5,4,5,7,1
201701,6130,16,9,6,1,5,8,9,7,2,4,6,2,1
201702,4434,10,6,9,7,8,4,8,2,4,4,1,5,1
201703,3997,13,11,7,8,6,3,5,3,1,2,3,4,2
201704,4090,16,18,10,9,4,5,8,5,1,3,1,5,1
201705,5909,16,21,9,9,8,7,3,2,2,4,4,4,1
201706,7313,24,26,12,7,8,1,3,4,1,2,4,2,2
201707,9912,36,27,22,7,6,4,3,4,5,5,4,9,7
201708,10010,40,28,14,8,7,8,2,4,3,4,6,1,3
201709,10488,26,28,14,3,5,5,3,6,2,10,6,3,6
201710,9855,32,19,10,3,4,4,2,2,4,5,4,6,3
201711,9079,18,24,7,4,1,3,7,7,4,7,3,7,1
201712,7393,19,14,11,2,2,6,4,5,3,4,2,5,1
201801,5192,16,7,3,6,6,2,4,2,4,3,3,1,2
201802,4783,9,9,5,3,7,5,2,1,3,2,3,1,1
201803,4218,8,10,6,4,6,8,2,4,4,1,1,1,1
201804,6090,16,12,14,5,9,3,1,6,2,2,1,2,3
201805,6472,16,25,13,4,7,4,7,1,4,1,2,1,2
201806,8371,23,21,25,11,5,5,2,4,6,3,3,4,3
201807,8245,39,27,14,13,9,3,5,3,1,3,3,2,1
201808,10798,38,27,16,8,6,4,1,7,3,4,1,6,1
201809,8783,36,28,8,5,5,3,4,4,8,2,4,5,3
201810,9302,25,16,8,5,4,3,1,5,1,3,8,4,1
201811,8548,19,22,3,5,3,7,4,7,2,10,3,1,1
201812,5307,25,8,3,4,1,3,4,4,3,1,2,6,1
201901,5458,18,7,8,8,2,3,1,2,2,4,1,1,1
201902,4116,13,6,2,6,1,3,2,3,3,3,1,2,1
201903,3007,11,11,3,1,2,6,6,1,1,1,1,1,1
201904,3153,8,2,14,3,2,5,3,4,2,2,3,1,1
201905,4117,14,19,10,6,11,4,2,3,1,3,2,1,1
201906,5154,15,23,10,8,1,7,3,3,3,2,2,3,1
201907,6887,20,18,10,12,5,4,1,2,1,1,3,3,1
201908,5813,23,9,8,2,2,3,1,1,1,2,4,5,1
201909,6110,15,14,5,4,3,2,1,1,1,3,3,3,3
201910,6072,13,4,5,3,3,1,1,1,5,1,3,7,3
201911,5560,11,15,5,1,1,1,2,1,2,2,5,3,2
201912,4135,10,8,1,1,1,2,4,5,1,5,1,1,2
202001,4065,12,6,2,2,3,2,2,2,4,1,1,1,3
202002,2792,8,7,3,5,3,1,4,4,3,1,1,2,1
202003,6847,13,10,8,10,1,6,3,3,2,1,1,1,1
202004,3451,7,13,5,1,4,3,2,1,1,1,1,1,1

