period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,14311,210,168,88,79,84,96,74,70,67,53,52,64,26
201502,13816,236,126,73,74,73,71,60,57,35,64,53,49,32
201503,18030,157,139,86,79,75,60,64,59,47,50,55,47,21
201504,18504,156,160,103,80,75,88,71,53,65,63,56,53,22
201505,23424,184,223,108,81,83,88,90,83,71,77,67,73,59
201506,28301,262,268,196,117,120,115,120,109,85,122,100,115,71
201507,27131,231,214,121,108,97,88,103,79,89,105,103,119,71
201508,26011,224,188,102,96,75,72,69,72,93,82,99,102,61
201509,23632,253,158,100,97,75,85,81,80,76,83,100,84,43
201510,23765,176,155,91,69,64,69,70,82,62,78,93,65,33
201511,21078,198,113,101,75,72,55,81,64,84,85,82,63,26
201512,18767,146,135,89,73,54,58,61,54,74,61,51,51,29
201601,18278,157,118,64,52,50,50,61,52,46,58,43,43,19
201602,19899,149,104,68,49,56,54,58,45,46,33,38,40,16
201603,20224,132,99,62,57,71,52,45,50,37,48,27,34,16
201604,23161,141,133,73,48,56,58,39,44,34,31,30,38,25
201605,26712,176,150,76,84,54,50,51,40,46,52,41,41,22
201606,32475,172,175,97,55,59,59,55,45,50,46,39,69,21
201607,28307,186,187,90,64,64,57,48,45,28,55,52,48,39
201608,25415,203,152,89,65,64,42,36,28,31,48,43,49,21
201609,30939,188,144,80,47,37,35,41,36,47,33,40,42,15
201610,25571,124,104,61,55,38,30,39,44,36,44,39,42,18
201611,24023,162,110,70,57,42,53,29,32,46,34,42,34,22
201612,21089,156,104,69,42,47,51,42,47,37,33,28,30,21
201701,19019,112,128,45,49,54,41,38,43,25,30,23,39,11
201702,16070,161,72,72,46,49,36,36,38,37,26,34,35,9
201703,20621,103,85,74,47,40,37,33,32,37,25,24,28,15
201704,19975,129,115,72,61,41,38,37,36,39,26,37,45,20
201705,27890,173,110,75,52,50,33,39,49,50,32,39,51,25
201706,28785,216,165,95,56,56,47,35,34,44,36,60,39,24
201707,26803,229,165,72,61,25,37,47,41,44,49,30,42,22
201708,26315,190,140,47,46,35,39,22,29,33,37,41,39,19
201709,26283,238,138,51,63,31,47,29,35,27,34,49,36,14
201710,27755,183,125,55,47,37,34,37,25,29,42,42,51,28
201711,26873,174,110,64,57,38,51,38,42,43,30,47,40,11
201712,19328,134,118,59,36,39,40,37,41,33,37,29,26,17
201801,23896,109,109,47,52,42,25,32,37,26,30,26,20,13
201802,22798,179,96,60,48,46,49,29,43,26,28,29,19,19
201803,22587,121,111,54,47,38,35,36,28,18,28,35,31,14
201804,21933,148,104,67,50,47,45,46,37,33,32,29,32,16
201805,29727,136,135,92,59,60,39,36,34,41,26,37,35,18
201806,27438,165,161,87,62,61,32,38,41,31,29,42,28,22
201807,27837,207,142,92,57,52,52,50,43,41,44,42,33,15
201808,30917,171,143,66,39,44,46,31,27,29,35,28,41,21
201809,28043,185,125,61,40,31,37,25,39,30,37,37,35,18
201810,28257,145,100,87,48,39,30,40,33,42,45,43,22,19
201811,28959,126,104,58,45,38,28,39,32,38,27,33,37,9
201812,17356,105,84,48,34,54,35,29,36,27,38,14,21,8
201901,25288,131,88,41,45,22,22,34,29,35,29,16,29,7
201902,22633,98,78,59,41,41,25,30,42,15,25,19,26,4
201903,20769,97,86,40,50,31,27,25,34,25,23,21,26,3
201904,21654,91,81,69,56,53,45,24,26,20,20,18,17,13
201905,25961,116,98,42,58,39,30,26,41,28,24,16,29,13
201906,21647,120,101,56,48,28,28,27,36,28,23,22,28,10
201907,22115,137,97,57,45,28,36,27,25,19,14,25,31,13
201908,22969,137,94,51,38,27,21,19,15,17,30,33,38,18
201909,22736,144,89,34,27,28,18,17,29,27,31,34,24,16
201910,20634,106,74,60,31,30,23,24,16,20,31,30,21,9
201911,19607,88,82,49,30,20,15,20,23,32,32,35,18,12
201912,15163,92,65,30,20,28,40,24,35,37,40,25,23,7
202001,19228,74,53,24,26,27,22,31,31,23,28,23,13,5
202002,16240,74,40,28,34,30,41,30,22,32,22,22,21,15
202003,17708,55,42,31,33,34,24,31,22,20,28,24,18,8
202004,14090,66,65,25,37,24,22,27,21,22,24,12,15,3
202005,15437,72,54,33,33,29,33,23,21,28,12,12,19,7
202006,20068,88,82,51,39,27,26,30,19,20,15,20,24,17
202007,19905,87,74,68,32,25,19,26,27,19,21,30,32,12
202008,19697,107,92,58,43,27,27,20,17,15,24,31,20,11
202009,21538,119,72,40,36,36,26,17,21,23,22,27,36,12
202010,20088,89,81,49,28,42,29,22,27,27,32,37,27,10
202011,19105,90,61,56,55,38,35,31,38,44,41,28,26,14
202012,10448,62,73,60,27,37,41,30,28,21,37,29,22,6
202101,11978,63,70,39,34,37,30,30,36,25,27,16,10,6
202102,12397,74,64,39,43,30,32,35,41,20,13,13,16,6
202103,14487,44,49,58,41,28,21,30,28,16,14,9,12,11
202104,12576,62,69,53,43,32,36,20,19,11,14,18,17,9
202105,13797,57,62,52,44,36,27,10,16,10,22,21,17,6
202106,16303,78,66,48,53,22,21,15,16,10,12,13,12,9
202107,12929,77,72,44,28,26,14,14,21,7,14,5,9,7
202108,13478,79,51,48,32,23,18,11,13,10,8,16,14,11
202109,14174,66,62,32,25,17,30,18,19,15,9,20,13,4
202110,11685,62,47,28,27,24,16,20,12,18,26,18,14,12
202111,16372,62,47,29,27,15,21,21,21,24,34,19,19,5
202112,12808,55,44,27,23,17,14,13,21,9,21,11,6,9
202201,12929,48,43,32,22,29,26,21,26,14,19,9,10,12
202202,12568,47,36,28,27,28,33,28,22,22,14,12,8,4
202203,15674,46,43,31,23,28,30,20,34,16,5,15,12,8
202204,10050,56,36,26,21,24,15,17,11,7,12,7,10,7
202205,11195,46,47,33,22,22,15,19,18,13,6,7,10,7
202206,10909,40,42,35,30,23,28,10,21,6,2,10,10,4
202207,9821,43,53,26,22,23,17,13,13,4,15,9,13,3
202208,11424,50,56,46,28,21,11,18,10,9,8,8,17,9
