period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,14319,226,189,95,89,90,102,78,79,71,58,66,66,26
201502,13822,251,138,81,85,81,79,64,61,41,81,58,51,37
201503,18066,163,145,95,87,77,63,70,61,51,55,57,50,23
201504,18511,171,166,111,85,78,94,77,62,74,71,61,56,23
201505,23426,195,232,115,86,84,94,93,88,73,80,69,75,59
201506,28308,276,277,200,119,123,119,122,111,89,128,107,118,72
201507,27136,241,222,121,116,101,90,107,80,91,108,104,122,71
201508,26014,235,194,106,100,79,76,73,74,103,89,106,104,62
201509,23633,259,161,109,100,79,87,83,85,83,85,102,88,45
201510,23765,184,164,98,73,66,70,71,85,65,79,97,70,34
201511,21331,203,117,105,81,74,58,84,68,85,89,84,65,29
201512,18775,152,139,92,77,59,59,65,57,78,69,54,57,31
201601,18279,158,122,67,58,53,52,63,52,48,59,47,47,20
201602,19897,154,107,70,51,57,58,60,50,46,35,39,40,17
201603,20223,139,102,68,59,73,54,48,51,38,49,28,35,16
201604,23163,147,139,73,49,57,60,40,46,34,32,32,38,26
201605,26715,179,155,77,85,54,50,53,42,47,52,42,43,23
201606,32482,180,179,99,56,63,63,56,45,51,47,40,72,21
201607,28310,190,195,93,67,64,60,49,46,29,56,57,51,39
201608,25418,204,156,90,66,67,44,36,32,31,48,45,49,22
201609,31009,192,153,81,49,40,36,41,37,52,34,43,47,15
201610,25576,131,113,66,55,39,30,40,45,36,44,39,43,18
201611,24028,165,116,74,59,45,55,31,34,46,36,43,37,22
201612,21092,161,106,73,50,49,53,42,51,40,33,29,32,21
201701,19025,120,132,47,55,56,43,40,47,25,32,24,39,12
201702,16075,164,76,77,48,49,38,36,38,40,29,36,36,10
201703,20622,106,89,75,50,41,40,35,33,37,25,27,32,18
201704,19976,135,121,74,63,44,41,39,38,41,27,40,46,20
201705,27891,177,113,77,52,54,33,39,50,50,34,43,53,26
201706,28785,219,170,98,57,57,49,35,35,45,39,60,39,26
201707,26805,230,172,76,62,29,38,47,42,44,49,33,43,24
201708,26445,193,146,50,50,40,41,22,30,34,37,41,41,20
201709,26285,248,141,52,64,32,52,29,37,28,34,52,36,15
201710,27756,186,127,57,47,41,35,38,26,30,44,43,54,29
201711,26874,176,117,66,58,40,52,41,43,44,32,48,41,12
201712,19330,140,119,60,37,40,40,38,42,33,39,30,28,17
201801,23897,111,113,48,53,42,25,33,38,27,30,26,24,13
201802,22803,183,98,62,48,46,51,29,43,27,30,30,21,22
201803,22588,123,113,57,50,40,36,39,30,18,29,38,31,14
201804,21933,150,106,68,52,47,45,46,40,33,32,29,34,16
201805,29728,138,137,93,59,63,40,36,34,43,26,38,35,18
201806,27438,166,165,88,62,62,34,39,42,31,30,42,29,24
201807,27838,212,150,98,59,55,54,50,44,42,46,42,34,15
201808,30917,178,147,70,40,44,50,31,27,29,36,28,43,21
201809,28046,189,132,63,41,33,37,26,41,33,38,37,36,20
201810,28259,152,104,89,51,40,30,40,33,46,47,44,24,19
201811,28960,131,107,59,45,38,31,39,32,39,28,33,40,10
201812,17356,114,86,50,35,55,36,32,36,28,40,19,22,8
201901,25288,138,92,41,46,25,22,37,29,36,31,17,30,8
201902,22633,99,81,63,43,43,26,33,45,17,25,20,26,4
201903,20769,102,87,43,52,32,28,27,35,25,23,22,28,3
