period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12378,116,82,37,26,38,42,39,34,31,22,20,17,16
201502,10827,121,93,44,55,32,44,46,46,39,23,21,19,5
201503,11306,107,78,68,47,45,45,50,28,35,22,26,23,19
201504,11725,99,95,53,42,61,46,28,32,18,16,24,18,14
201505,12723,115,76,54,65,42,26,43,23,26,26,25,28,15
201506,15875,122,110,99,60,39,33,35,29,18,24,24,43,23
201507,16290,127,134,97,60,56,41,35,44,29,29,40,49,32
201508,18051,156,124,70,64,36,53,44,35,31,37,41,60,35
201509,19285,196,124,58,50,33,39,36,38,42,43,53,59,22
201510,17089,146,120,71,49,43,41,42,55,50,54,51,52,22
201511,15696,150,90,80,68,48,53,79,48,56,59,44,44,19
201512,13678,116,116,80,72,46,114,67,73,57,41,52,33,17
201601,15672,107,134,76,63,145,76,69,52,49,39,36,24,9
201602,14026,128,106,64,127,97,72,63,56,27,37,30,28,12
201603,13642,108,106,92,94,70,72,38,30,30,19,17,20,10
201604,14431,119,115,67,78,64,47,24,37,21,18,18,17,11
201605,14356,134,89,90,83,57,35,62,37,26,22,19,25,23
201606,15492,147,114,93,61,56,77,29,20,29,32,31,39,21
201607,18684,131,136,80,45,63,29,33,26,32,32,37,47,20
201608,22398,151,131,84,80,31,29,36,28,38,37,47,66,28
201609,18841,137,116,81,46,43,27,30,27,41,32,54,49,26
201610,19385,133,116,69,37,45,30,32,30,30,67,39,53,17
201611,16420,128,96,52,45,28,30,41,28,36,39,50,40,13
201612,14625,88,71,56,47,35,32,30,52,36,45,33,24,16
201701,13530,82,83,39,26,37,39,28,35,32,28,23,26,12
201702,10724,111,72,50,42,26,45,32,34,34,27,15,18,17
201703,12990,74,76,43,32,38,39,29,48,17,21,25,20,9
201704,12191,89,95,44,47,44,49,35,11,21,25,20,24,17
201705,15648,102,96,80,57,62,36,38,19,31,28,15,35,21
201706,16298,125,114,90,57,41,46,29,29,23,24,34,40,38
201707,14022,150,145,132,90,37,35,32,35,30,37,43,57,42
201708,17671,183,142,90,49,38,24,27,24,29,47,44,49,21
201709,16316,202,144,61,65,43,29,20,31,21,35,55,43,22
201710,16752,159,128,63,41,32,34,29,47,28,56,45,39,17
201711,15712,144,93,74,40,39,33,37,32,43,41,36,36,10
201712,14260,117,108,60,51,33,34,49,42,53,39,34,28,14
201801,15108,127,94,59,41,36,37,37,52,33,26,17,21,5
201802,12043,113,85,57,37,35,39,32,29,27,22,27,29,8
201803,12123,99,78,55,52,37,49,33,34,19,18,23,17,11
201804,11961,100,82,63,48,27,37,24,22,16,24,23,11,15
201805,13879,93,118,71,51,61,50,25,21,21,23,16,27,21
201806,15534,118,129,82,49,37,28,25,26,24,14,25,20,20
201807,16245,152,146,91,52,39,36,29,24,22,27,23,65,16
201808,17883,159,111,84,33,27,29,25,19,19,29,40,43,16
201809,15526,163,101,52,39,26,26,19,35,34,34,44,46,23
201810,16908,139,101,43,86,33,27,44,27,28,47,44,42,12
201811,18144,112,70,41,29,21,25,25,18,32,34,41,30,19
201812,12754,105,78,36,19,23,24,29,27,29,28,21,30,14
201901,13663,88,51,32,31,17,26,28,29,39,16,17,19,7
201902,12242,68,66,28,25,25,19,30,35,16,15,20,21,7
201903,12749,72,77,24,25,33,31,34,20,30,10,11,22,5
201904,12716,67,56,42,46,50,34,25,19,16,23,11,22,8
201905,13388,92,69,42,38,37,36,23,19,12,13,21,19,13
201906,12184,73,75,65,39,32,23,23,21,14,19,15,26,18
201907,12196,102,99,49,43,19,13,15,14,16,17,23,31,22
201908,13038,101,86,54,25,27,29,21,12,17,26,27,31,28
201909,12387,96,83,41,45,34,34,16,24,28,27,37,34,15
201910,12328,95,74,43,30,22,16,16,15,31,25,22,31,12
201911,11700,74,63,39,34,17,17,24,35,35,36,36,29,10
201912,9134,74,58,31,28,24,18,27,28,38,28,28,18,6
202001,11525,72,53,30,16,31,21,17,25,32,20,26,18,9
202002,9427,62,31,32,22,20,25,29,21,17,23,15,20,11
202003,13072,77,52,32,30,25,21,22,18,15,16,13,13,6
202004,10182,49,68,28,33,36,30,24,24,16,17,19,20,8
202005,10342,49,76,28,50,24,21,23,11,18,19,19,18,16
202006,13815,66,68,62,28,24,10,15,23,10,14,11,29,19
202007,12958,89,80,46,29,28,23,23,16,9,14,18,28,12
202008,14426,110,85,47,28,26,21,21,18,15,18,20,30,10
202009,15715,101,93,43,25,35,25,18,15,16,10,21,15,8
202010,13008,97,66,46,36,29,22,15,15,14,21,24,19,9
202011,14187,95,53,31,25,28,24,27,15,19,15,9,15,3
202012,10610,64,51,31,26,24,19,20,17,28,16,14,9,3
202101,9478,47,54,31,11,21,9,14,18,9,7,8,5,1
202102,9116,65,46,26,16,15,9,17,12,14,9,5,9,7
202103,10323,40,44,26,14,17,25,16,15,10,6,9,8,3
202104,8451,61,39,21,17,11,12,7,4,2,3,5,5,4
202105,9742,48,28,19,19,21,14,18,10,10,14,3,7,5
202106,11702,43,31,23,14,13,8,10,5,9,12,8,4,3
202107,11087,49,53,23,18,11,10,9,8,5,6,9,3,4
202108,9800,78,45,32,15,7,8,9,8,8,13,14,13,7
202109,12229,80,50,20,13,10,18,6,8,6,10,10,12,5
202110,12693,54,29,16,16,8,4,7,6,5,6,11,5,4
202111,13581,57,33,19,19,11,16,15,8,9,10,10,18,3
202112,9558,53,29,15,13,7,7,10,19,8,6,16,13,6
202201,9827,25,31,23,15,13,9,12,8,9,11,5,2,3
202202,9546,40,27,18,8,9,7,9,10,15,6,5,1,3
202203,10455,42,27,17,7,17,13,12,5,8,4,8,11,2
202204,6447,27,22,7,10,12,9,8,10,7,4,6,3,2
202205,7573,38,17,17,28,14,14,10,9,7,5,3,1,1
202206,8308,33,21,10,11,17,11,10,8,5,3,3,4,3
202207,9122,45,37,14,20,9,4,5,9,5,4,7,3,3
202208,9542,36,39,20,11,15,11,6,6,8,4,7,7,6
