period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12385,118,82,40,26,38,42,40,34,34,22,21,17,16
201502,10833,125,94,44,56,32,46,47,47,40,24,21,19,5
201503,11326,108,79,68,47,45,46,52,28,37,22,27,24,19
201504,11771,103,98,53,43,61,48,28,33,19,16,25,18,14
201505,12772,116,79,55,66,43,26,43,23,26,26,25,28,16
201506,15984,125,114,101,61,40,34,37,30,18,24,25,44,25
201507,16354,131,135,99,62,56,41,35,45,29,29,43,50,32
201508,18134,158,130,71,65,37,55,44,35,31,39,43,61,36
201509,19405,198,126,59,50,33,39,36,38,43,44,53,60,22
201510,17176,150,120,72,50,43,42,42,57,52,56,53,53,22
201511,15761,152,90,82,69,48,56,81,50,57,59,47,47,19
201512,13705,117,118,82,76,51,116,67,74,60,44,53,34,19
201601,15702,109,139,78,69,148,77,72,53,51,40,36,26,9
201602,14058,131,111,65,130,100,72,64,58,27,37,30,28,13
201603,13672,109,107,94,97,70,73,39,33,31,19,17,20,10
201604,14458,121,116,69,79,66,50,24,37,23,18,18,18,11
201605,14411,136,91,91,85,58,36,62,39,26,23,19,29,24
201606,15560,151,118,95,63,57,77,30,20,29,33,33,41,21
201607,18774,135,138,81,47,69,30,33,28,32,32,39,47,21
201608,22513,157,136,86,82,31,29,36,28,38,37,50,66,29
201609,18906,139,117,85,46,44,28,31,27,41,33,54,51,26
201610,19461,135,116,70,37,45,32,32,30,32,68,40,53,18
201611,16508,130,96,52,45,29,31,41,30,36,40,51,40,13
201612,14657,88,73,57,47,35,33,32,53,36,46,37,26,16
201701,13568,83,83,39,28,37,39,28,35,34,28,23,26,12
201702,10745,111,74,50,44,26,46,33,34,34,27,16,18,17
201703,13044,76,78,45,32,39,41,30,50,17,21,25,21,10
201704,12238,91,99,46,47,44,49,36,14,22,25,20,25,17
201705,15702,104,97,81,57,63,36,39,19,31,28,15,36,22
201706,16462,131,117,92,61,43,46,30,29,24,27,35,40,38
201707,14091,153,147,133,90,39,37,32,36,30,37,44,57,42
201708,17752,185,142,91,52,38,25,27,25,29,50,45,49,21
201709,16377,205,146,61,65,43,29,21,34,21,36,57,45,22
201710,16826,165,128,63,41,33,34,29,48,31,59,46,45,17
201711,15760,145,96,74,40,40,33,37,32,46,42,38,36,11
201712,14267,117,108,61,51,33,36,49,44,54,40,35,28,15
201801,15109,128,95,59,43,36,37,37,53,35,26,17,21,5
201802,12054,113,87,57,38,35,40,32,30,27,22,27,29,8
201803,12132,99,78,55,53,37,49,33,34,19,18,23,17,11
201804,11962,101,84,63,49,27,37,26,22,16,25,23,11,15
201805,13905,95,118,73,53,62,51,26,21,21,23,17,28,21
201806,15555,119,129,83,50,37,29,25,26,24,14,25,20,20
201807,16279,153,147,91,52,40,36,29,24,22,29,25,66,16
201808,17930,160,115,84,34,28,30,25,19,19,29,43,45,17
201809,15572,164,103,54,41,26,26,20,35,35,36,44,48,23
201810,16925,142,103,44,87,33,27,44,27,29,47,47,44,12
201811,18199,113,71,43,29,21,25,26,19,32,34,41,30,19
201812,12779,106,80,36,19,23,24,29,27,31,29,23,31,14
201901,13672,88,52,32,31,17,27,28,29,40,17,18,19,8
201902,12255,70,66,29,25,26,19,30,36,16,15,20,21,7
201903,12761,74,78,24,26,33,31,34,21,30,10,11,22,5
201904,12723,69,57,43,46,50,34,25,19,16,23,11,22,8
201905,13404,92,69,42,38,37,36,23,19,13,13,21,19,15
201906,12199,73,76,66,40,34,24,24,21,14,19,15,26,19
201907,12218,102,100,51,44,20,13,17,14,16,17,24,35,22
201908,13049,102,87,55,26,27,29,21,12,17,27,29,31,28
201909,12413,97,83,43,46,34,37,16,24,28,27,38,35,15
201910,12363,96,74,46,30,22,17,16,16,31,26,23,31,12
201911,11727,75,67,39,36,17,20,25,36,35,36,37,29,10
201912,9136,74,59,31,28,24,19,27,28,40,29,28,18,6
202001,11531,73,57,30,16,31,21,17,25,32,20,27,19,9
202002,9434,63,31,32,22,20,25,30,22,17,23,15,20,11
202003,13072,78,53,33,31,25,21,22,18,15,16,13,13,6
202004,10180,49,68,28,33,36,30,24,24,16,17,19,20,8
202005,10342,50,77,28,51,24,21,23,11,18,19,19,19,17
202006,13815,66,69,64,28,24,10,17,23,10,14,11,29,21
202007,12958,90,81,46,29,29,23,23,17,10,14,18,28,13
202008,14424,111,85,48,28,26,21,22,18,15,20,20,30,10
202009,15717,101,96,45,25,36,25,18,15,16,10,21,16,8
202010,13006,99,68,46,36,30,22,16,15,14,21,24,19,9
202011,14190,95,56,32,25,28,24,27,16,19,15,9,15,3
202012,10610,65,52,31,26,24,19,20,17,28,16,14,9,3
202101,9491,48,56,31,11,21,9,14,18,9,7,8,5,1
202102,9165,68,47,27,17,16,10,18,13,15,9,5,9,7
202103,10382,42,44,27,14,17,25,17,16,10,6,9,8,3
202104,8492,62,42,21,17,11,12,7,4,2,3,6,5,4
202105,9784,51,28,19,20,21,16,19,10,10,15,4,7,5
202106,11804,46,31,23,14,14,8,10,5,9,13,8,4,3
202107,11199,50,54,24,18,11,10,9,8,5,6,9,4,4
202108,9893,79,45,32,17,7,8,9,9,8,13,14,14,7
202109,12279,81,50,21,16,10,18,7,8,7,10,10,12,5
202110,12727,54,31,16,16,9,4,7,6,5,7,11,5,4
202111,13619,58,33,19,19,11,17,15,8,9,10,10,19,3
202112,9588,53,30,15,13,8,7,10,19,8,6,16,13,6
202201,9866,25,31,23,15,13,9,12,8,11,11,5,2,3
202202,9568,40,27,18,8,9,7,10,10,15,6,5,1,3
202203,10484,42,27,18,9,17,13,12,5,8,4,8,12,2
202204,6476,27,22,7,10,12,9,8,10,7,4,6,3,2
202205,7611,38,17,17,28,16,15,10,9,7,5,3,1,1
202206,8339,33,24,10,11,17,12,11,8,6,3,3,4,3
202207,9181,45,38,15,22,10,5,5,10,7,4,7,3,4
