period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,7937,145,107,74,44,60,38,34,49,39,43,36,46,30
201502,8274,134,113,51,39,43,44,62,46,40,39,35,34,18
201503,9149,121,89,50,47,46,71,49,55,44,47,34,44,13
201504,9105,107,103,66,49,71,49,56,58,49,40,34,46,22
201505,10366,128,111,69,64,64,68,67,63,66,52,44,70,28
201506,13076,143,120,110,81,66,58,81,72,80,66,64,66,45
201507,11511,149,118,78,66,59,56,68,61,68,54,80,77,38
201508,9414,131,112,66,57,58,58,56,60,46,60,69,54,38
201509,8510,99,78,48,51,38,43,51,49,60,47,62,49,24
201510,10115,91,78,51,34,37,52,44,50,42,33,54,49,24
201511,8484,109,73,54,34,44,34,52,35,37,39,27,45,13
201512,6431,72,85,44,34,40,42,40,36,31,30,21,27,18
201601,6667,80,50,36,26,32,39,26,40,22,19,20,18,8
201602,6470,90,51,34,27,19,24,31,32,21,25,13,13,12
201603,6474,94,45,34,26,24,27,23,18,16,17,23,20,4
201604,7191,96,51,35,32,23,17,16,23,21,16,19,14,17
201605,7822,92,44,27,43,23,29,34,24,13,15,14,23,11
201606,9229,83,62,38,22,27,31,27,21,26,16,26,17,13
201607,6818,78,67,28,28,30,26,26,25,13,14,18,18,6
201608,7530,76,63,24,22,22,13,20,15,17,18,15,20,8
201609,6811,68,53,34,15,13,25,16,17,15,12,15,19,8
201610,6483,60,53,27,18,19,9,11,16,15,15,20,24,12
201611,6011,64,32,25,21,25,14,17,11,10,19,9,10,3
201612,5466,41,50,33,18,21,13,15,13,9,10,13,9,3
201701,5749,47,39,18,20,16,17,15,11,15,9,9,9,5
201702,4611,49,31,22,9,7,8,11,17,6,15,9,11,3
201703,5220,46,39,23,13,14,9,19,11,12,12,9,12,4
201704,5041,49,34,16,17,11,16,16,7,11,12,12,9,4
201705,5332,63,32,22,11,12,7,10,12,4,10,11,8,3
201706,6036,40,42,12,24,6,9,10,14,9,12,6,8,6
201707,4179,65,35,18,13,9,12,8,8,8,7,16,7,8
201708,4318,34,36,22,12,12,8,2,10,14,11,8,8,2
201709,3340,35,25,21,8,14,8,10,10,3,9,11,11,2
201710,3555,51,17,15,11,8,12,10,9,6,7,7,11,2
201711,3086,31,27,11,12,9,13,4,11,6,7,9,1,3
201712,2289,35,18,13,8,5,6,7,5,4,7,5,3,3
201801,2719,46,21,10,8,6,8,7,4,15,4,3,7,2
201802,2129,33,24,18,4,9,10,8,4,8,3,6,1,5
201803,2457,34,16,19,12,9,6,6,5,3,3,3,6,2
201804,2670,26,17,19,11,12,12,4,2,5,4,3,6,2
201805,3272,24,17,13,12,8,8,5,4,6,5,3,4,1
201806,3759,26,16,16,8,5,4,5,7,5,3,3,4,4
201807,2420,30,21,15,10,9,9,3,5,1,6,7,5,3
201808,2926,34,37,14,7,12,6,7,6,4,10,6,7,1
201809,2790,38,19,9,9,7,9,5,5,4,2,6,8,1
201810,2545,26,24,18,9,7,3,9,4,3,8,12,9,4
201811,3091,23,20,12,7,3,7,3,4,6,2,5,1,3
201812,1980,17,10,6,4,2,7,1,7,6,5,6,2,4
201901,2301,12,10,4,4,3,6,4,2,6,1,3,3,1
201902,2123,9,7,6,5,7,8,7,4,2,1,3,3,1
201903,2281,16,9,5,6,7,4,4,2,2,5,2,5,1
201904,2495,16,11,8,8,7,4,4,2,4,2,5,4,3
201905,2721,11,14,6,6,5,5,2,1,4,5,1,2,2
201906,2721,12,7,12,8,5,4,4,4,2,4,1,3,1
201907,2229,11,10,4,5,3,4,1,1,2,5,5,6,2
201908,2366,27,13,5,7,6,3,2,2,2,3,3,3,2
201909,2193,19,10,5,5,6,2,2,4,2,1,3,2,3
201910,2472,15,10,7,4,3,2,4,1,5,1,3,1,1
201911,2364,12,18,9,8,1,2,1,2,1,4,3,6,1
201912,1784,17,4,7,3,4,8,4,2,5,4,4,2,1
202001,2106,17,14,7,1,1,6,3,6,2,2,1,2,1
202002,2092,12,8,3,3,6,4,7,4,1,2,4,3,2
202003,2524,13,11,6,5,4,7,3,4,4,1,3,4,1
202004,1880,12,8,5,3,5,9,2,4,1,3,4,4,1
202005,1830,5,4,7,8,5,5,5,1,2,2,1,3,2
202006,2402,12,6,13,1,3,1,3,1,2,2,2,1,1
202007,1984,11,16,10,2,1,1,1,3,1,2,3,4,2
202008,1839,13,11,2,1,2,3,1,3,2,1,3,1,1
