period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,2524,14,7,9,7,3,1,8,2,3,2,2,2,3
201502,3254,7,7,6,3,3,3,5,1,2,1,2,1,2
201503,2860,7,8,6,5,5,7,4,2,1,1,2,2,2
201504,3739,21,11,4,7,7,3,3,2,2,1,3,1,1
201505,3512,15,17,8,7,5,4,1,1,3,1,2,1,3
201506,5596,25,31,23,18,9,3,4,2,4,1,1,5,6
201507,6303,31,32,13,8,7,6,8,4,1,2,4,4,3
201508,4288,26,16,8,4,5,3,4,2,1,4,6,7,2
201509,4804,18,13,8,1,7,4,1,3,7,8,4,2,1
201510,1934,12,3,5,8,1,2,2,3,6,3,5,2,5
201511,3659,4,5,9,4,1,2,1,4,2,2,2,2,1
201512,2348,12,9,3,4,1,3,6,4,4,3,4,4,2
201601,2604,7,11,4,1,1,6,7,1,3,1,1,1,1
201602,3145,6,5,5,8,5,4,8,7,1,1,3,1,1
201603,3096,13,4,6,5,8,4,8,1,3,1,2,2,2
201604,3926,12,9,6,6,6,3,3,1,3,1,3,1,2
201605,3852,6,14,4,7,4,6,5,2,4,2,3,5,1
201606,3404,19,10,8,10,4,2,6,3,4,3,2,6,1
201607,5148,14,24,6,7,2,4,1,2,5,4,2,5,2
201608,3160,12,15,7,3,1,4,4,1,1,4,6,1,1
201609,2484,9,7,1,2,1,1,3,2,3,4,1,1,1
201610,2351,6,10,2,2,1,1,4,1,2,1,1,2,1
201611,2421,5,7,2,3,3,1,3,5,4,1,2,2,1
201612,1501,2,5,6,2,3,2,5,3,3,1,1,1,2
201701,1535,5,8,1,5,6,5,3,6,5,2,1,1,1
201702,1531,7,11,4,6,4,6,3,2,2,2,2,3,1
201703,2799,7,8,9,4,1,3,1,5,1,1,1,2,2
201704,4049,11,6,9,6,6,7,4,1,1,1,2,1,3
201705,3286,12,10,7,5,1,2,3,5,1,1,1,6,1
201706,4151,16,12,5,9,5,1,4,1,6,2,4,4,2
201707,3393,10,15,4,3,4,2,2,2,1,4,1,11,1
201708,2927,14,3,6,3,6,3,1,3,2,2,1,4,1
201709,2481,9,4,2,2,1,2,3,2,4,1,1,6,1
201710,2254,7,6,3,3,4,2,4,3,5,4,1,1,1
201711,1807,9,5,3,6,2,3,1,1,1,2,3,4,2
201712,1542,1,7,3,4,1,1,3,5,1,4,1,1,1
201801,1723,6,4,1,3,2,1,1,1,1,1,1,2,2
201802,2326,4,8,1,2,3,3,4,3,2,3,1,4,1
201803,1973,4,1,5,3,4,3,3,2,1,1,1,1,1
201804,3734,9,11,12,2,6,3,1,1,1,4,2,1,2
201805,3244,15,13,8,3,5,1,1,2,6,1,3,3,1
201806,4396,10,14,12,6,5,1,2,3,3,2,5,2,4
201807,3545,14,7,4,6,3,2,1,1,1,2,4,7,2
201808,3896,11,9,4,1,3,1,1,1,2,3,5,5,1
201809,2021,9,3,1,1,1,1,1,2,1,1,2,1,1
201810,3001,8,4,3,2,1,2,1,1,3,1,1,2,1
201811,1567,4,1,3,2,3,1,1,3,1,2,1,1,1
201812,1995,6,4,2,5,3,5,2,2,3,1,1,1,1
201901,1569,6,4,1,3,2,4,5,4,3,3,1,1,1
201902,1523,3,4,3,4,3,3,4,3,1,1,1,1,1
201903,2372,8,4,7,4,7,1,1,3,1,1,3,1,1
201904,2056,5,5,3,1,5,1,5,1,1,3,1,2,1
201905,2110,3,10,10,9,2,1,2,3,1,1,1,1,1
201906,3147,5,9,17,13,2,1,2,3,1,1,1,1,1
201907,4128,16,15,3,5,1,2,1,1,1,2,2,1,1
201908,2675,14,2,5,4,4,2,1,1,1,1,1,4,4
201909,2304,1,5,1,3,1,1,1,1,1,1,2,4,1
201910,2244,5,1,2,4,1,1,1,1,1,1,1,2,1
201911,1873,6,3,1,1,1,1,1,1,1,1,1,1,1
201912,1095,2,3,1,1,1,2,1,1,2,1,1,1,1
202001,1701,3,2,1,1,1,1,1,2,3,1,4,2,1
202002,1747,1,1,1,1,1,3,1,2,2,3,1,1,1
202003,1258,2,1,1,1,3,2,3,1,1,1,1,2,1
202004,1253,1,1,1,2,3,1,2,1,1,1,1,1,1
202005,2211,6,4,6,5,2,2,1,1,1,2,2,1,1
202006,3541,1,13,4,5,1,2,3,1,2,2,1,2,2
202007,2521,8,4,17,4,4,1,2,1,1,2,1,1,2

