period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,10601,160,115,84,52,64,40,42,51,43,47,38,48,34
201502,11675,143,121,59,44,47,47,67,46,42,40,37,35,20
201503,12163,131,98,59,52,52,78,53,57,44,48,37,46,15
201504,12981,131,117,72,57,78,53,59,60,52,42,37,47,22
201505,13983,147,132,82,71,70,73,68,66,69,53,46,72,31
201506,18827,169,155,135,100,75,62,85,74,84,67,65,71,51
201507,17960,183,155,93,74,66,63,77,65,69,57,84,81,41
201508,13836,158,132,76,63,64,63,60,63,47,66,75,61,41
201509,13465,121,94,57,52,45,47,52,52,67,56,66,52,25
201510,12170,107,81,56,42,39,55,47,54,49,37,61,51,29
201511,12257,116,80,64,38,45,37,53,41,40,44,30,47,15
201512,8886,88,97,48,39,41,45,46,40,35,33,25,33,21
201601,9364,89,61,41,26,34,45,33,41,26,21,21,20,9
201602,9705,100,59,42,35,25,31,40,40,22,26,17,14,14
201603,9723,109,51,41,31,32,31,31,19,19,20,25,23,6
201604,11212,110,60,44,39,29,21,19,24,25,17,22,15,20
201605,11855,99,60,32,50,28,36,40,27,19,17,17,28,12
201606,12804,106,74,51,33,31,33,33,24,31,19,29,27,15
201607,12133,100,97,36,36,32,30,27,27,18,20,20,25,8
201608,10830,90,82,33,26,23,17,25,15,18,23,23,21,8
201609,9471,78,63,39,18,14,26,19,19,18,17,16,20,8
201610,8953,72,64,30,24,20,10,17,18,17,17,22,26,13
201611,8572,69,40,28,24,29,16,23,16,14,20,13,12,4
201612,7059,43,58,39,20,24,15,20,16,12,12,13,10,5
201701,7343,54,47,19,26,22,23,18,17,20,11,9,11,5
201702,6221,59,43,27,15,12,14,14,19,8,17,11,14,3
201703,8209,54,47,33,17,15,13,21,19,12,13,10,16,6
201704,9149,60,42,25,24,17,23,20,7,11,14,14,9,7
201705,8702,77,42,32,16,13,9,13,18,5,12,12,14,3
201706,10245,59,55,17,34,11,9,15,15,15,14,11,12,8
201707,7629,78,51,22,17,13,14,11,10,9,11,17,19,8
201708,7281,48,39,28,15,19,12,2,13,16,13,9,12,2
201709,5887,44,32,24,11,14,10,13,12,7,11,12,17,2
201710,5876,59,23,19,14,12,14,14,12,12,11,9,12,2
201711,4979,41,33,14,18,11,16,5,12,6,9,12,6,5
201712,3878,36,26,16,12,6,7,11,10,5,11,6,4,3
201801,4538,52,25,11,11,10,9,8,5,16,5,4,9,5
201802,4508,37,32,20,6,12,13,12,7,10,6,7,5,6
201803,4492,39,18,24,16,14,9,11,7,3,4,4,7,2
201804,6460,35,28,31,13,18,15,4,2,6,8,5,6,4
201805,6549,39,30,21,15,13,8,7,6,12,6,6,7,1
201806,8222,36,30,28,15,10,4,7,10,9,5,8,6,8
201807,6028,44,29,19,17,12,11,3,7,2,8,11,12,5
201808,6924,45,46,19,8,15,8,8,7,6,13,12,12,1
201809,4865,49,22,11,10,7,9,5,7,4,3,8,8,1
201810,5570,34,28,22,11,8,5,9,5,6,9,12,11,5
201811,4677,27,21,16,9,6,8,4,7,7,5,5,1,3
201812,3989,23,14,8,9,6,12,3,9,9,6,6,3,4
201901,3897,18,15,5,7,5,10,9,6,11,5,3,3,1
201902,3657,13,12,9,9,10,11,11,7,3,1,3,3,1
201903,4659,25,13,12,10,15,5,4,5,2,6,5,6,1
201904,4554,21,16,11,9,12,5,9,2,5,5,5,6,3
201905,4867,14,25,16,15,7,6,4,5,5,6,1,3,3
201906,5869,17,17,29,21,7,4,6,8,3,5,1,4,1
201907,6362,29,25,7,10,4,6,1,1,2,7,7,6,3
201908,5042,41,15,10,11,10,5,2,2,3,4,4,7,6
201909,4502,20,16,6,8,6,3,2,4,3,2,5,6,3
201910,4783,21,10,9,8,4,3,5,1,6,2,4,3,2
201911,4303,18,21,9,9,1,3,1,3,1,4,4,6,1
201912,2882,19,8,7,3,4,10,4,2,7,5,6,2,1
202001,3819,20,16,7,1,2,6,4,8,5,3,5,4,1
202002,3843,13,9,4,4,7,7,8,6,2,5,4,4,2
202003,3782,15,12,6,5,7,9,6,5,5,2,3,6,1
202004,3134,12,8,5,5,8,10,5,5,2,3,4,5,1
202005,4042,11,8,13,13,7,7,6,2,2,4,3,3,2
202006,5946,12,20,17,6,3,3,6,1,4,4,2,3,3
202007,4506,19,20,27,6,5,1,3,3,1,4,4,5,4
202008,2095,18,18,6,6,4,5,2,3,3,2,5,3,2
202009,876,14,5,3,5,1,9,3,1,3,3,2,2,2
202010,755,11,13,7,3,4,1,3,2,4,2,1,2,1
