period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12930,118,85,30,33,26,35,27,35,35,22,22,21,13
201502,13594,162,107,45,40,51,39,41,32,29,27,21,19,15
201503,14971,134,90,42,52,30,44,32,24,33,20,24,24,15
201504,14318,128,88,61,42,47,39,21,31,20,21,17,30,14
201505,16795,131,85,65,39,53,39,29,34,32,25,28,34,15
201506,22148,133,125,87,82,54,41,36,36,38,34,24,36,25
201507,23855,174,157,81,50,41,28,45,51,36,31,58,50,27
201508,21566,198,176,94,65,55,71,45,38,50,51,43,59,36
201509,20540,225,174,112,94,63,69,55,51,65,50,54,79,31
201510,18833,183,146,98,98,74,80,59,71,65,71,68,70,24
201511,16556,230,151,127,119,90,77,97,72,78,96,78,65,31
201512,15150,157,169,125,96,94,105,89,89,92,82,54,48,22
201601,18576,187,162,109,104,117,93,109,78,67,55,57,41,17
201602,16611,199,131,88,92,86,80,90,57,48,38,39,40,19
201603,16453,200,164,91,84,65,96,66,34,45,45,48,42,14
201604,18976,161,149,92,83,74,51,50,45,42,36,39,39,19
201605,18846,184,145,114,108,80,43,60,52,26,32,21,42,16
201606,21510,189,165,114,70,55,55,47,26,39,38,37,51,17
201607,25311,216,174,81,71,65,44,41,50,32,31,47,32,26
201608,26821,217,151,81,84,61,41,32,28,30,42,44,48,30
201609,25713,177,125,72,45,45,50,38,41,42,42,48,52,25
201610,21458,173,105,64,49,47,31,38,42,35,41,44,48,16
201611,20171,203,101,50,46,25,41,24,34,60,47,43,46,18
201612,19126,145,86,69,47,40,51,29,46,37,43,33,28,12
201701,18316,137,109,38,39,32,21,36,32,34,29,29,27,10
201702,13549,148,68,55,51,26,43,34,33,26,27,22,21,20
201703,18117,102,104,57,34,43,48,30,37,26,30,24,27,10
201704,16094,122,102,69,49,44,39,31,28,31,42,21,30,16
201705,21870,164,127,86,65,57,40,31,45,31,28,22,33,22
201706,26031,157,134,83,63,56,42,36,31,34,23,35,30,34
201707,23729,232,146,111,53,48,53,42,31,46,34,36,57,28
201708,25981,203,134,70,55,63,48,35,40,32,28,44,40,22
201709,20530,181,139,63,47,56,31,38,28,36,48,53,42,23
201710,20879,156,122,70,64,47,39,47,43,40,36,38,51,17
201711,20653,146,122,62,39,42,48,33,51,55,29,40,39,9
201712,18397,107,105,54,46,36,41,37,52,40,46,27,25,16
201801,17832,142,90,60,31,41,38,36,50,36,29,28,25,9
201802,15309,113,86,62,50,46,39,42,42,25,26,17,20,9
201803,16625,97,87,47,50,69,41,39,39,31,26,27,22,17
201804,18970,136,92,53,66,48,56,34,22,28,20,24,12,15
201805,23637,126,120,90,64,52,44,29,36,27,25,18,28,18
201806,25147,184,159,81,58,59,23,23,21,36,21,29,34,19
201807,26435,222,130,90,52,28,29,28,30,32,34,28,33,20
201808,27846,213,128,61,43,37,23,24,22,22,28,31,41,20
201809,22954,176,99,63,42,24,23,24,17,24,24,42,35,14
201810,24323,132,94,53,83,23,13,40,23,24,30,30,25,14
201811,22121,106,102,47,41,22,30,23,23,42,35,36,38,16
201812,17354,132,67,44,30,27,36,38,23,36,30,23,14,14
201901,19793,110,76,39,35,19,24,31,26,26,22,22,25,10
201902,15566,89,64,34,28,36,41,23,25,30,16,15,24,4
201903,17334,83,72,26,28,40,30,23,28,17,13,15,20,4
