period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12969,121,88,32,33,26,35,27,35,36,22,24,22,13
201502,13594,164,108,45,41,51,39,41,32,29,27,21,20,16
201503,14970,135,90,42,52,30,46,33,24,33,22,24,24,15
201504,14319,128,91,63,42,48,41,22,33,22,21,19,30,14
201505,16795,136,87,65,39,54,40,31,34,32,25,28,36,15
201506,22148,136,130,88,85,55,41,37,36,40,35,25,37,27
201507,23855,177,158,83,53,42,29,47,52,37,32,60,50,27
201508,21566,204,176,95,67,55,76,47,39,53,51,44,60,38
201509,20540,226,176,113,94,65,72,57,52,66,53,56,86,31
201510,18832,187,149,100,101,79,82,60,73,66,73,68,72,24
201511,16557,230,151,132,121,91,79,99,72,83,99,79,69,35
201512,15150,160,172,127,97,94,106,92,91,93,84,55,51,23
201601,18576,191,166,109,108,119,94,111,82,70,59,58,42,18
201602,16611,199,132,88,93,89,80,93,61,48,40,40,41,19
201603,16453,203,165,92,87,67,96,66,38,45,47,50,44,14
201604,18977,162,154,94,83,75,52,51,46,43,37,40,41,20
201605,18846,185,146,117,109,80,44,60,53,26,34,23,43,19
201606,21511,192,167,116,74,56,58,47,26,39,38,38,53,18
201607,25311,217,180,82,72,66,45,42,51,33,32,47,35,28
201608,26822,221,155,83,86,63,41,33,29,30,43,44,50,30
201609,25713,182,130,73,45,45,50,38,42,43,44,50,53,26
201610,21458,176,110,66,49,48,31,39,43,36,44,44,48,16
201611,20171,205,105,50,48,25,41,24,34,64,47,43,47,20
201612,19126,147,87,70,48,41,51,29,46,39,46,34,29,14
201701,18316,140,110,39,39,32,23,36,33,34,30,32,27,10
201702,13551,149,70,57,53,26,44,34,33,26,27,24,22,21
201703,18117,105,107,62,34,43,49,30,39,27,30,24,28,10
201704,16094,123,106,71,49,47,39,32,28,31,43,23,30,18
201705,21870,166,129,87,69,58,41,32,45,32,29,22,36,25
201706,26031,158,139,85,63,56,42,37,31,34,23,36,30,34
201707,23729,235,151,114,57,49,54,42,32,46,35,37,58,29
201708,25981,207,138,73,57,64,48,36,40,32,28,46,43,23
201709,20530,185,142,63,49,56,32,38,29,36,48,54,43,23
201710,20879,157,122,71,64,48,41,48,43,42,37,40,53,18
201711,20653,148,123,62,40,42,48,33,51,55,31,41,40,9
201712,18397,107,106,56,46,38,44,38,54,40,48,29,27,16
201801,17832,144,95,61,32,41,38,38,53,36,30,29,25,10
201802,15323,115,88,64,51,46,43,42,44,25,27,17,20,9
201803,16650,98,88,47,50,72,43,40,39,32,26,28,22,17
201804,18989,136,93,53,67,49,57,35,22,28,21,26,13,15
201805,23677,128,122,92,65,52,44,30,37,27,26,18,28,19
201806,25173,185,163,85,58,60,24,24,22,38,21,29,36,20
201807,26484,228,135,91,53,30,29,28,32,33,34,30,34,20
201808,27886,217,130,64,43,37,24,26,22,22,29,31,43,20
201809,22984,178,102,64,44,24,24,24,18,24,25,42,36,14
201810,24367,136,97,53,84,25,14,42,23,25,30,31,25,15
201811,22148,107,102,47,41,22,31,23,24,42,38,36,38,17
201812,17384,133,68,45,30,27,37,38,23,38,31,24,14,14
