period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,7632,31,47,18,16,13,21,18,21,9,11,10,6,5
201502,8350,54,29,16,17,17,22,27,11,8,10,4,11,9
201503,9141,30,33,19,10,22,28,18,7,8,4,10,9,6
201504,10774,51,43,24,23,23,16,14,9,13,8,5,10,1
201505,13598,41,62,35,20,15,13,15,15,7,11,5,4,9
201506,19679,84,65,65,43,18,14,5,15,7,16,11,15,10
201507,18514,67,79,30,32,19,18,17,12,13,13,13,24,10
201508,16857,68,59,27,24,16,9,13,18,8,15,17,19,10
201509,12210,57,39,22,19,24,14,20,8,18,18,17,28,6
201510,11024,39,31,15,15,2,17,7,12,21,22,21,18,7
201511,11252,34,28,14,15,14,13,20,14,19,20,15,14,4
201512,9707,23,29,9,13,13,20,19,16,18,9,9,8,7
201601,9474,23,24,17,11,11,22,24,18,13,11,11,7,3
201602,9239,37,21,17,15,17,16,14,9,12,12,8,5,5
201603,12522,21,22,24,17,29,22,17,12,10,8,4,10,4
201604,13087,45,38,29,38,37,9,9,9,5,5,13,10,7
201605,16036,54,58,59,35,27,21,10,15,13,17,11,10,4
201606,19235,65,95,63,35,29,21,8,16,10,4,16,21,15
201607,22594,92,95,57,32,28,14,20,21,9,21,25,20,14
201608,16989,85,72,40,27,19,9,10,10,9,13,21,21,14
201609,13679,58,43,16,20,17,9,17,17,15,26,10,23,8
201610,11235,34,32,26,8,6,12,12,11,15,15,19,10,8
201611,10177,40,31,17,11,7,15,18,16,15,15,7,13,7
201612,9857,33,32,21,7,13,12,17,13,8,7,16,6,2
201701,9240,36,29,13,20,10,16,14,9,9,17,7,9,1
201702,8386,26,27,16,13,24,17,10,14,9,10,6,6,1
201703,11744,53,37,21,14,16,17,16,8,11,10,3,11,4
201704,11937,43,43,27,25,21,10,10,6,11,6,10,13,7
201705,16288,44,68,29,29,13,13,10,15,11,15,9,17,9
201706,18657,76,74,44,30,20,8,22,12,13,14,19,19,8
201707,22454,83,81,36,15,22,28,14,16,9,17,17,20,13
201708,16752,82,51,22,14,13,19,13,13,14,17,18,16,7
201709,13758,55,44,24,22,10,12,16,18,12,14,20,19,7
201710,11450,49,35,29,11,9,10,14,11,17,23,8,15,3
201711,12392,27,36,23,11,10,13,12,17,18,18,12,13,7
201712,8550,32,37,14,10,20,18,18,18,21,13,12,14,6
201801,10957,35,31,12,13,18,21,21,13,10,11,7,11,2
201802,8182,37,35,18,16,22,17,18,9,20,11,10,12,4
201803,10557,46,40,30,21,23,14,19,19,6,11,15,13,4
201804,13737,46,64,31,36,29,19,11,10,14,14,10,10,6
201805,15347,53,54,31,29,17,16,13,16,16,13,15,16,7
201806,20295,70,71,41,26,18,15,17,22,9,10,16,15,11
201807,20102,93,64,30,24,11,18,19,17,12,12,11,20,7
201808,18304,74,55,28,12,16,13,10,13,11,22,19,17,5
201809,12431,48,39,16,10,13,12,11,9,13,13,13,16,12
201810,13451,33,22,20,14,7,3,9,15,20,14,12,19,5
201811,10180,47,27,17,9,11,15,14,11,24,17,16,9,3
201812,8672,32,28,18,5,16,13,13,26,14,10,4,10,6
201901,10217,38,20,8,14,9,13,12,13,13,7,6,12,2
201902,8204,31,24,18,10,21,22,18,14,5,12,11,10,4
201903,9265,34,22,23,22,25,21,10,8,8,6,4,10,1
201904,10298,34,30,29,12,23,13,6,6,13,7,8,2,6
201905,12808,39,46,40,28,31,17,7,5,11,6,4,7,4
201906,15413,52,55,37,20,11,12,13,14,8,5,8,13,12
201907,20672,49,47,31,23,4,12,9,13,3,4,17,23,11
201908,14228,56,28,15,16,11,12,8,7,6,7,18,14,6
201909,11765,39,31,11,12,13,8,5,10,9,8,20,13,7
201910,10897,24,21,14,14,7,4,7,5,13,12,10,9,3
201911,8773,18,22,8,10,4,6,7,16,17,7,10,7,7
201912,6159,20,11,7,6,5,12,19,6,6,10,8,4,1
202001,8316,25,15,2,3,8,7,18,14,8,8,6,7,3
202002,8061,16,15,9,9,12,18,10,9,16,5,6,9,3
202003,7233,17,10,13,17,8,11,6,7,6,1,5,6,4
202004,6792,15,15,8,16,17,11,11,4,3,3,11,10,4
202005,9247,19,22,20,20,12,12,8,7,12,8,12,6,5
202006,15519,34,43,28,21,12,4,9,9,9,10,7,19,6
202007,14766,37,39,22,9,12,8,9,3,6,5,10,12,3
202008,5420,28,41,17,7,6,10,12,4,8,7,14,8,4
202009,2185,32,20,13,8,9,6,3,1,3,1,5,5,1
202010,547,18,5,6,4,4,1,3,4,3,4,3,3,2
