period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,7688,13,18,8,8,6,7,6,8,6,4,2,4,2
201502,7616,29,17,6,5,6,9,9,1,2,7,2,6,3
201503,6115,17,18,12,6,7,12,5,3,2,2,6,2,5
201504,6131,21,13,12,14,12,9,9,5,5,2,3,7,5
201505,8053,21,22,14,20,15,11,13,7,6,5,10,4,3
201506,10652,30,35,21,16,17,12,4,6,6,6,6,16,6
201507,10710,45,43,23,17,15,7,5,7,8,6,7,18,6
201508,8774,32,45,16,15,6,5,7,10,3,10,19,16,10
201509,8638,39,26,21,12,11,8,8,12,14,19,22,18,6
201510,8363,33,25,22,11,8,6,2,11,10,27,21,16,1
201511,7942,27,23,9,7,8,11,12,13,11,15,10,16,3
201512,8229,16,19,10,11,14,16,18,14,16,10,18,7,5
201601,8866,16,23,8,5,11,16,13,23,11,15,3,6,3
201602,7351,19,16,9,15,8,18,11,13,7,2,5,3,4
201603,5921,23,14,14,10,13,15,10,10,2,6,3,4,2
201604,6436,17,21,13,11,13,12,11,8,7,5,5,4,2
201605,5971,27,27,24,20,12,8,1,5,8,7,3,12,4
201606,8179,29,29,28,21,11,7,4,4,7,2,8,14,5
201607,10493,45,36,25,16,8,8,6,8,5,3,14,12,6
201608,10597,48,43,14,9,7,4,7,4,3,9,13,15,9
201609,9398,27,25,12,8,2,8,7,12,7,10,11,10,9
201610,8696,35,14,13,8,8,5,7,10,10,9,10,12,4
201611,9084,23,19,14,8,8,8,8,11,11,8,12,10,4
201612,8212,25,22,14,13,12,10,7,12,13,11,7,5,8
201701,7605,23,24,10,11,7,7,18,8,7,3,6,4,3
201702,6262,33,12,5,4,7,10,11,7,6,5,3,5,1
201703,6463,20,13,7,14,6,8,8,11,2,6,7,2,4
201704,5516,23,15,12,9,15,8,6,7,7,1,2,10,1
201705,6679,23,29,7,3,10,14,2,5,7,1,6,7,11
201706,8172,42,14,10,13,18,5,6,6,2,4,5,9,6
201707,8174,39,40,12,15,8,8,6,5,4,6,10,8,3
201708,8185,35,27,20,12,14,8,3,4,7,10,7,5,3
201709,7564,29,21,10,6,6,2,4,7,7,5,7,11,5
201710,7735,16,17,6,5,1,4,11,10,4,10,5,3,2
201711,7224,17,23,7,3,8,6,6,9,8,4,6,4,2
201712,6476,16,10,3,4,14,14,8,8,11,8,7,3,3
201801,6062,14,17,8,5,9,5,3,5,3,3,4,3,2
201802,4928,27,12,11,4,4,6,4,10,4,6,3,3,2
201803,4319,13,13,7,4,12,4,11,5,7,3,5,5,1
201804,4044,13,21,11,9,9,5,4,4,4,3,6,4,2
201805,6079,19,13,11,5,8,2,3,2,1,4,5,1,6
201806,7198,27,28,19,2,4,8,7,4,4,7,3,5,6
201807,7521,15,23,10,8,9,6,8,5,3,7,8,5,5
201808,8084,26,19,11,5,6,6,6,2,2,5,6,5,6
201809,5847,41,12,13,5,8,3,5,4,4,4,4,5,1
201810,6903,24,17,10,5,5,4,5,11,6,15,7,8,1
201811,6295,21,12,8,7,4,8,3,5,6,10,6,4,1
201812,5039,20,19,11,9,7,8,9,3,5,9,4,4,1
201901,5587,11,2,6,8,3,7,5,7,8,5,5,5,1
201902,4104,15,9,7,8,9,6,8,4,4,1,5,8,1
201903,3941,15,12,2,7,7,4,5,2,3,1,4,1,2
201904,3854,15,13,6,14,6,11,4,2,2,5,4,3,2
201905,4401,16,12,12,5,6,4,6,4,4,2,1,4,3
201906,5966,21,21,8,8,5,2,4,1,1,3,4,3,2
201907,7113,31,14,10,5,4,5,4,6,5,5,2,4,3
201908,5906,22,29,5,5,6,7,3,1,2,1,6,5,7
201909,4596,15,17,3,3,4,3,3,1,3,6,8,7,1
201910,6094,19,4,6,2,3,3,3,3,3,4,3,7,1
201911,4767,17,9,2,7,3,3,2,4,5,2,1,6,2
201912,4257,18,9,4,3,4,1,6,5,3,1,4,1,2
202001,4881,8,9,4,1,1,3,9,3,4,6,4,5,4
202002,3970,11,3,10,5,4,12,5,6,1,5,3,2,1
202003,7138,12,4,6,6,3,9,6,2,3,1,1,3,3
202004,3863,18,9,8,8,5,4,1,3,2,5,6,2,1
202005,4874,13,10,6,3,3,4,1,3,1,2,5,1,2
202006,7155,13,18,16,2,8,6,3,1,2,2,3,3,4
202007,6724,16,11,5,9,4,2,3,4,5,1,7,1,2
202008,5546,21,9,12,6,6,1,1,2,1,2,4,8,8
202009,2973,15,11,3,6,3,2,1,1,5,6,5,4,1
202010,2789,19,6,2,1,3,1,2,4,6,5,3,5,1
202011,3321,15,17,5,3,4,1,3,9,8,2,1,3,2
202012,2532,9,6,5,4,2,5,5,7,1,2,2,4,2
202101,2312,15,4,4,4,3,2,4,5,4,1,2,1,1
202102,2389,8,7,5,2,4,6,4,6,4,2,2,3,1
202103,1837,11,2,5,10,1,3,1,5,1,3,3,4,1
202104,1826,7,10,6,1,4,6,3,2,3,3,1,3,3
202105,1978,3,9,8,6,6,5,3,2,3,3,2,5,1
202106,2734,10,8,4,8,2,3,3,2,1,2,1,1,1
202107,3094,11,3,10,6,5,1,1,2,3,1,3,3,2
202108,2845,11,8,5,2,3,4,1,3,2,7,5,3,2
202109,1867,11,6,1,3,2,4,1,2,2,3,4,5,1
202110,1528,6,2,3,4,1,2,4,1,5,6,2,4,3
202111,2302,7,3,4,2,1,3,3,4,3,2,7,6,1
202112,1941,3,9,2,2,5,3,1,3,2,3,2,2,1
202201,1223,3,4,1,1,2,4,3,6,2,2,1,2,1

