period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,12083,20,21,12,8,12,19,9,10,9,5,9,9,3
201502,11835,29,16,15,15,14,7,15,5,11,10,13,11,3
201503,13142,23,28,12,20,13,9,8,8,7,3,6,5,3
201504,16655,40,33,19,17,13,8,9,12,5,8,8,8,5
201505,18104,37,35,19,20,14,9,3,5,10,9,10,4,8
201506,20870,38,52,33,21,17,16,13,7,10,7,14,12,12
201507,23643,47,45,29,21,21,17,9,9,14,14,18,9,6
201508,22310,50,40,22,12,13,9,15,6,13,10,13,12,7
201509,17421,39,46,12,9,13,15,3,10,7,13,12,14,8
201510,16464,35,27,17,19,7,12,11,14,10,9,14,11,8
201511,15799,41,35,15,10,11,6,13,15,13,10,7,9,1
201512,12035,40,39,22,21,9,13,11,16,9,8,8,12,5
201601,11999,29,25,13,4,16,15,12,15,4,3,5,10,3
201602,13853,31,17,17,9,13,13,12,7,11,8,5,9,5
201603,15614,30,25,17,17,13,15,21,10,13,4,5,6,13
201604,15438,33,44,18,22,20,16,12,12,6,3,8,9,4
201605,14757,37,33,29,13,19,14,11,10,11,5,4,10,8
201606,15761,56,50,31,23,14,6,13,12,5,11,8,14,6
201607,15580,48,46,28,15,13,9,9,6,11,8,16,15,9
201608,16895,46,40,21,8,13,6,10,7,10,9,17,14,6
201609,15674,25,29,7,15,15,11,11,10,9,15,9,8,8
201610,11841,25,23,10,11,10,8,13,10,13,13,11,11,1
201611,10951,23,20,16,10,11,9,14,12,12,8,6,6,2
201612,9950,19,27,18,13,8,8,9,11,7,10,6,9,2
201701,9805,24,23,9,7,5,7,17,12,6,11,1,7,5
201702,8408,20,17,17,13,15,10,7,11,10,10,6,3,4
201703,10927,22,24,15,16,14,11,7,7,4,4,4,5,2
201704,10589,53,27,27,5,16,4,5,5,6,7,6,2,3
201705,14316,23,25,22,25,12,11,11,9,3,10,7,12,6
201706,15191,29,29,27,19,17,7,11,4,10,8,8,14,9
201707,17881,29,23,19,7,13,10,5,9,11,10,11,9,6
201708,14331,23,22,17,12,7,9,5,7,16,10,5,12,4
201709,11982,23,26,7,7,10,4,5,4,7,11,11,6,6
201710,11528,27,18,8,8,5,7,10,10,11,11,19,9,5
201711,9887,11,12,12,9,14,6,10,8,8,8,11,14,1
201712,8928,13,16,11,9,8,9,8,8,5,10,11,10,9
201801,9245,17,21,6,9,5,6,11,11,9,5,5,8,1
201802,8414,14,17,16,9,7,5,7,10,10,3,6,7,2
201803,9530,15,23,13,9,10,13,9,10,3,6,5,11,2
201804,11313,16,20,13,7,12,11,9,10,8,7,12,9,5
201805,15251,31,19,19,13,19,10,5,11,13,9,7,11,2
201806,17090,31,25,18,14,7,7,8,7,12,14,8,10,6
201807,16196,30,45,16,7,11,8,6,7,6,4,8,21,10
201808,19214,33,29,16,10,5,4,4,4,5,5,6,8,3
201809,12969,22,21,17,8,5,7,6,10,4,7,8,6,5
201810,11442,26,16,12,6,5,1,7,4,2,10,7,13,3
201811,10397,15,25,10,6,6,8,5,8,10,8,7,3,3
201812,7776,22,13,4,8,7,2,4,8,8,8,11,2,3
201901,8835,14,9,6,10,6,10,8,6,10,7,7,2,1
201902,8365,12,7,11,12,7,12,7,4,9,4,9,4,4
201903,8983,10,13,8,11,13,8,8,1,5,5,5,4,2
201904,9557,13,19,13,10,7,8,4,3,3,2,3,2,2
201905,11752,24,20,15,11,17,8,11,4,5,9,3,1,4
201906,12937,22,28,16,12,4,9,5,3,6,3,5,5,5
201907,15834,23,30,12,10,8,9,10,7,3,6,7,4,9
201908,12054,31,12,11,5,7,5,4,1,3,3,9,7,5
201909,10985,13,26,4,4,3,3,1,4,5,6,6,7,2
201910,9240,19,18,4,8,8,1,2,3,7,3,6,4,4
201911,7221,18,21,8,4,5,7,6,3,1,4,4,3,4
201912,5907,16,7,7,8,2,3,3,6,4,4,7,6,4
202001,7812,14,13,4,4,3,3,9,5,6,5,5,2,2
202002,6787,10,7,3,4,12,4,4,6,6,7,2,3,5
202003,7820,12,11,6,6,5,7,10,4,5,3,5,6,5
202004,6815,3,10,4,4,5,5,5,5,2,2,5,3,3
202005,6488,14,7,8,8,4,6,2,5,6,2,4,5,3
202006,11592,17,19,4,5,6,8,2,7,5,2,5,3,2
202007,10776,16,14,9,11,7,5,1,3,3,2,5,13,3
202008,10305,19,14,14,8,5,4,6,4,1,3,10,7,1
202009,5863,15,8,5,2,7,4,3,4,5,4,7,2,1
202010,3047,13,9,4,2,3,3,2,1,4,2,4,2,1
202011,2057,12,6,2,2,4,1,3,6,1,8,1,5,1
202012,2038,4,5,4,2,1,1,3,3,1,1,4,1,2
202101,2001,10,6,3,3,3,5,3,1,3,1,1,1,1
202102,1607,4,7,6,1,2,2,2,1,1,1,1,1,1
202103,1349,6,6,3,4,2,4,5,1,1,1,1,1,1
202104,1680,9,4,6,3,4,2,2,1,1,6,3,2,2
202105,1909,9,12,2,5,6,1,1,1,2,2,1,1,1
202106,3344,11,9,4,4,4,4,1,3,4,2,3,3,2
202107,4121,10,8,13,4,2,1,3,1,1,1,1,4,1
202108,3117,7,5,4,3,2,2,1,4,2,1,1,5,1
202109,2027,5,5,2,1,1,1,1,1,2,1,1,2,1
202110,2695,8,5,1,2,4,1,4,1,1,2,1,2,1
202111,2749,7,5,4,2,2,1,1,1,1,1,3,2,1
202112,1273,8,5,1,1,1,2,1,2,1,1,2,1,1
