period,qty_sold,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
201501,160428,1085,951,525,426,469,461,383,437,357,302,284,272,161
201502,161124,1218,940,521,523,459,433,462,379,302,316,283,281,169
201503,178061,1023,894,601,546,462,489,463,329,314,267,302,285,144
201504,185462,1060,992,702,535,565,470,372,356,301,285,278,289,129
201505,197407,1221,1239,720,630,570,466,422,375,363,344,322,338,231
201506,253553,1533,1422,1105,769,609,503,471,430,400,408,367,469,299
201507,258467,1463,1455,852,619,500,449,478,399,387,380,466,539,290
201508,235805,1530,1352,803,614,447,483,423,350,412,472,506,523,329
201509,235123,1536,1253,741,580,498,494,427,410,495,486,559,605,250
201510,226952,1196,1115,710,571,468,477,405,512,491,556,571,481,210
201511,214529,1296,1010,771,613,531,453,588,498,571,613,459,437,175
201512,170608,983,1048,704,576,497,604,514,554,530,440,395,352,193
201601,177271,1020,981,599,529,629,557,548,495,393,382,342,311,125
201602,181903,1128,930,601,635,576,553,549,430,326,300,297,261,140
201603,188997,1087,941,713,618,597,568,445,365,305,298,273,285,126
201604,198779,1141,1139,717,644,600,460,385,332,273,232,276,243,171
201605,212434,1268,1181,867,777,565,461,438,349,298,314,254,305,174
201606,245171,1415,1407,978,642,537,481,371,296,328,261,328,424,185
201607,254731,1445,1479,815,620,493,372,344,335,235,309,407,405,218
201608,241755,1555,1334,776,569,414,321,326,242,270,352,417,440,222
201609,252612,1291,1215,654,426,378,339,310,333,360,371,394,426,187
201610,224232,1213,1067,601,418,417,299,357,381,373,425,388,405,187
201611,218094,1225,930,548,495,329,384,390,359,386,379,362,369,147
201612,175724,874,828,609,391,360,412,377,377,311,345,301,239,129
201701,169107,883,946,425,415,390,347,365,319,276,290,221,253,110
201702,156332,1099,734,581,494,400,392,332,366,314,250,232,241,123
201703,194572,874,956,616,496,442,436,362,363,225,243,224,237,118
201704,171094,1070,1120,706,564,540,444,385,265,289,244,243,280,155
201705,223191,1261,1204,790,618,548,427,328,345,291,267,285,350,207
201706,239887,1414,1293,872,684,514,390,357,324,280,282,348,398,239
201707,228594,1529,1355,883,612,407,377,326,293,324,326,363,455,231
201708,219271,1412,1202,716,486,421,364,260,280,313,353,411,384,184
201709,223009,1407,1179,563,522,375,349,301,332,349,385,444,395,198
201710,221593,1234,1006,632,452,383,340,369,409,379,428,425,417,185
201711,218133,1032,1007,614,409,361,396,389,377,391,338,389,337,116
201712,158218,910,827,518,391,322,417,381,391,340,361,287,242,136
201801,172558,905,794,462,370,429,338,358,370,327,252,219,239,90
201802,162798,970,795,560,451,434,425,335,379,285,222,228,201,118
201803,179055,846,801,571,463,424,388,383,337,202,204,230,216,94
201804,179193,915,875,611,525,433,394,321,243,240,206,217,188,124
201805,216338,971,1032,710,553,517,369,281,283,261,211,223,269,153
201806,240976,1164,1196,773,553,412,289,297,280,287,227,252,271,202
201807,227943,1397,1143,722,481,332,325,313,259,213,263,261,379,169
201808,237674,1338,1093,634,342,315,278,248,205,228,270,325,338,159
201809,209602,1288,943,502,385,297,287,218,287,266,290,334,341,183
201810,224913,1074,805,590,474,300,259,318,295,329,348,346,322,148
201811,214440,879,802,481,345,256,288,285,299,340,320,312,256,125
201812,145946,865,701,404,271,299,275,292,289,300,263,227,177,108
201901,179610,770,658,368,343,245,286,275,258,274,209,193,189,74
201902,164794,737,637,439,305,374,316,313,286,208,194,190,194,67
201903,172637,710,690,409,398,361,326,277,250,191,173,164,149,38
201904,175147,753,709,558,425,394,374,248,202,195,187,150,116,72
201905,198479,865,835,582,484,415,299,260,244,206,170,110,162,104
201906,196969,1056,1008,678,503,324,259,252,240,165,152,155,232,147
201907,221154,1138,956,642,414,254,255,208,175,150,167,201,281,166
201908,187390,1108,926,515,309,276,261,187,141,148,199,263,332,153
201909,200055,1004,827,406,363,281,207,134,207,212,243,339,317,143
201910,195583,881,731,471,335,266,153,187,185,261,295,306,286,154
201911,178727,757,748,423,304,166,179,225,285,319,311,270,251,129
201912,130150,706,587,318,208,234,249,260,326,305,288,263,199,92
202001,162166,693,537,251,239,262,265,323,273,268,225,224,167,105
202002,151443,609,433,327,314,269,341,311,277,260,209,177,211,119
202003,168156,505,472,333,308,303,283,272,218,191,152,167,183,81
202004,107267,495,553,322,317,289,257,245,156,155,176,181,163,68
202005,126377,585,630,475,391,313,267,205,161,195,175,162,166,99
202006,200481,805,769,580,433,314,279,235,214,191,182,166,211,170
202007,189590,924,859,621,429,321,254,242,237,192,168,207,336,133
202008,156657,884,945,568,380,313,246,255,228,187,201,313,267,134
202009,172767,896,835,511,351,315,292,225,187,247,280,268,247,102
202010,168372,802,807,484,333,337,252,208,258,315,272,248,241,102
202011,164813,774,687,458,395,345,266,272,360,253,263,247,193,73
202012,112809,586,631,488,293,266,270,338,247,225,197,207,173,69
202101,123644,582,615,388,237,288,286,215,211,184,156,121,116,67
202102,134181,593,577,388,320,378,263,282,245,187,134,146,156,88
202103,145371,586,552,433,410,301,293,257,198,178,151,139,161,65
202104,132094,581,640,530,349,300,271,195,177,122,147,167,138,94
202105,135081,601,836,453,426,331,268,171,190,149,180,149,165,102
202106,160731,847,694,513,435,279,195,185,167,177,128,148,176,119
202107,142444,630,694,467,323,226,189,171,154,148,147,136,176,119
202108,130616,715,662,396,272,229,187,163,145,145,190,197,186,123
202109,147205,663,662,389,273,235,264,152,177,211,221,222,226,88
202110,136862,634,543,316,272,281,207,197,191,209,223,253,196,122
202111,151580,570,541,354,325,222,263,236,246,233,254,216,245,89
202112,117932,490,442,377,248,222,225,216,220,221,201,180,156,87
202201,129185,402,479,306,268,247,262,263,231,204,190,121,126,65
202202,123859,497,452,312,338,304,242,284,228,220,162,151,131,68
202203,139509,450,525,405,303,284,289,251,213,149,143,163,144,64
202204,112832,464,548,394,298,313,220,232,163,137,131,143,97,78
202205,138468,542,579,418,415,276,264,233,190,138,143,122,137,90
202206,124112,566,580,453,353,296,203,187,164,135,119,132,150,84
