plant_key,period,period_as_date,market,reference_market,part_of_world,market_code,company_code,factory,warranty_category,service_type,pnc_sku,sell_out_date,failure_date,ttfi,qty_serv,product_line,product_group,product_subgroup,order_nr,warranty_key,product_unit_key
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,922784053,2021-08-30,2021-12-01,4,1,Food Preservation,Built-in Food Preservation,Built-in Upright Freezer,385074954000,G,ZS-922784053-027-75
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925501066,2021-07-16,2021-10-26,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005015361000,G,ZS-925501066-049-00017
HUC,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,933014669,2021-05-29,2021-11-06,6,1,Food Preservation,Freestanding Under Counter,Freestanding Under Counter Freezer,000005069612000,G,HUC-933014669-125-00044
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515024,2021-08-23,2021-11-23,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005150034000,G,ZS-925515024-119-00168
ZS,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,925503182,2021-10-01,2021-12-02,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000101759332001,G,ZS-925503182-116-00038
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933015190,2021-11-24,2021-12-06,1,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000U63397031001,G,HUC-933015190-140-30005
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925503205,2021-03-23,2021-12-06,9,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005213620000,G,ZS-925503205-102-00211
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925503070,2021-01-25,2021-11-12,10,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005099667000,G,ZS-925503070-052-00151
ZS,202112,2021-12-01,Poland,Reference Markets Only,Europe,PLM,PLM,Electrolux Plants,First year warranty,Service call,925501101,2021-06-10,2021-11-16,5,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000007835921000,G,ZS-925501101-118-00019
HUC,202112,2021-12-01,Spain,Reference Markets Only,Europe,SPA,ES1,Electrolux Plants,First year warranty,Service call,920489282,2020-11-19,2021-11-29,12,1,Food Preservation,Chest Freezer,Large Chest Freezer,000005178966000,G,HUC-920489282-123-45678
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925503178,2021-09-22,2021-12-02,3,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000388057796000,G,ZS-925503178-114-00044
HUC,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,933033049,2021-01-26,2021-12-14,11,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000388063368000,G,HUC-933033049-101-50138
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,923581073,2021-09-10,2021-11-14,2,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,000388049187000,G,ZS-923581073-140-00049
ZS,202112,2021-12-01,Netherlands,Reference Markets Only,Europe,HOL,HOL,Electrolux Plants,First year warranty,Service call,925501058,2020-12-10,2021-11-25,11,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000388054888000,G,ZS-925501058-046-01545
HUY,202112,2021-12-01,Sweden,Reference Markets Only,Europe,SWE,SR ,Electrolux Plants,First year warranty,Service call,925053297,2020-12-09,2021-12-02,12,1,Food Preservation,Freestanding Bottom Freezer,Small Bottom Freezer,389868346000,G,HUY-925053297-045-30209
HUY,202112,2021-12-01,Belgium,Reference Markets Only,Europe,BEN,BE1,Electrolux Plants,First year warranty,Service call,925041478,2021-07-01,2021-12-02,5,1,Food Preservation,Freestanding Freezer,Freestanding Upright Freezer,000005202679000,G,HUY-925041478-049-30012
ZS,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,923584053,2021-09-06,2021-12-20,3,1,Food Preservation,Built-in Food Preservation,Built-in Upright Refrigerator,385078080000,G,ZS-923584053-124-109
THF,202112,2021-12-01,Denmark,Reference Markets Only,Europe,DKH,DKH,Electrolux Plants,First year warranty,Service call,925060624,2021-04-20,2021-11-24,7,1,Food Preservation,Freestanding Multidoor,Freestanding Multidoor 4 Door CD,385073857000,G,THF-925060624-108-73185
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925515023,2021-08-16,2021-12-14,4,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005257021000,G,ZS-925515023-116-00028
ZS,202112,2021-12-01,United Kingdom,Reference Markets Only,Europe,ENG,GB1,Electrolux Plants,First year warranty,Service call,925503174,2021-11-19,2021-11-29,0,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005182806000,G,ZS-925503174-104-00061
HUC,202112,2021-12-01,Germany,Reference Markets Only,Europe,GER,DGQ,Electrolux Plants,First year warranty,Service call,933016172,2021-03-29,2021-12-06,9,1,Food Preservation,Built-in Food Preservation,Built-in Under Counter Refrigerator,000E33397212001,G,HUC-933016172-106-40036
ZS,202112,2021-12-01,Italy,Reference Markets Only,Europe,ITA,IT1,Electrolux Plants,First year warranty,Service call,925505071,2021-06-30,2021-12-31,6,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000005335707000,G,ZS-925505071-123-00157
ZS,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,925511042,2021-09-15,2021-11-23,2,1,Food Preservation,Built-in Food Preservation,Built-in Bottom Freezer,000386209841000,G,ZS-925511042-135-00054
HUC,202112,2021-12-01,Switzerland,Reference Markets Only,Europe,SCH,SCH,Electrolux Plants,First year warranty,Service call,933014882,2021-05-01,2021-12-28,7,1,Food Preservation,Freestanding Under Counter,Freestanding Under Counter Freezer,000386231870000,G,HUC-933014882-103-40041
